Pos,Thickness,Target Thickness
0.00 0.00,18.878867809589092,18.886
0.00 49.40,18.677853095225796,18.69958
-34.93 34.93,18.619014666630672,18.60558
-49.40 0.00,18.583093056311974,18.53117
-34.93 -34.93,18.58181023842249,18.56219
0.00 -49.40,18.699052038122883,18.688715
34.93 -34.93,18.812993350657788,18.82682
49.40 0.00,18.816395842112026,18.803656
34.93 34.93,18.76933321280357,18.7679
0.00 98.80,18.5391662304218,18.46706
-37.81 91.28,18.46465800358699,18.445873
-69.86 69.86,18.4500134908236,18.43074
-91.28 37.81,18.37670216193566,18.3625
-98.80 0.00,18.371780615586502,18.343468
-91.28 -37.81,18.388153699728157,18.384594
-69.86 -69.86,18.45162659425002,18.44803
-37.81 -91.28,18.552786662028385,18.532293
0.00 -98.80,18.585555091271033,18.68869
37.81 -91.28,18.586322160256216,18.826555
69.86 -69.86,18.87818189400893,18.951803
91.28 -37.81,18.94161059306218,19.01566
98.80 0.00,20.27050759242131,20.7812
91.28 37.81,18.968680418454685,18.961185
69.86 69.86,18.87352341871995,18.85941
37.81 91.28,18.627698986346903,18.560106
0.00 0.00,18.872639876145584,18.886
0.00 49.40,18.68722748145079,18.69958
-34.93 34.93,18.616310963263878,18.60558
-49.40 0.00,18.559889341012024,18.53117
-34.93 -34.93,18.571710537641476,18.56219
0.00 -49.40,18.666965139217865,18.688715
34.93 -34.93,18.78235689309927,18.82682
49.40 0.00,18.79730187012599,18.803656
34.93 34.93,18.761403666806014,18.7679
0.00 98.80,18.473579260019157,18.46706
-37.81 91.28,18.48719827945416,18.445873
-69.86 69.86,18.44334294245793,18.43074
-91.28 37.81,18.38064641218919,18.3625
-98.80 0.00,18.359701560093807,18.343468
-91.28 -37.81,18.43482729104849,18.384594
-69.86 -69.86,18.43691928570087,18.44803
-37.81 -91.28,18.49383020401001,18.532293
0.00 -98.80,18.564367074232834,18.68869
37.81 -91.28,18.780447169657034,18.826555
69.86 -69.86,18.914543580342006,18.951803
91.28 -37.81,19.186519268231514,19.01566
98.80 0.00,20.415051680344803,20.7812
91.28 37.81,18.99745738811982,18.961185
69.86 69.86,19.02229202710665,18.85941
37.81 91.28,18.708421083597038,18.560106
0.00 0.00,18.87645627290775,18.886
0.00 49.40,18.687722945213316,18.69958
-34.93 34.93,18.611772463871883,18.60558
-49.40 0.00,18.56746189044072,18.53117
-34.93 -34.93,18.58688781200311,18.56219
0.00 -49.40,18.654572024712195,18.688715
34.93 -34.93,18.785891365949364,18.82682
49.40 0.00,18.790625517184917,18.803656
34.93 34.93,18.746636574084942,18.7679
0.00 98.80,18.48362406706199,18.46706
-37.81 91.28,18.477478586710415,18.445873
-69.86 69.86,18.451734102689304,18.43074
-91.28 37.81,18.38584698163546,18.3625
-98.80 0.00,18.377946303440975,18.343468
-91.28 -37.81,18.382957715254562,18.384594
-69.86 -69.86,18.471650783832256,18.44803
-37.81 -91.28,18.49984730207003,18.532293
0.00 -98.80,18.62505231087024,18.68869
37.81 -91.28,18.61952186649681,18.826555
69.86 -69.86,18.884197999269535,18.951803
91.28 -37.81,18.976103936041987,19.01566
98.80 0.00,20.296412614675667,20.7812
91.28 37.81,18.826441508073074,18.961185
69.86 69.86,19.16002420945601,18.85941
37.81 91.28,18.638352129194473,18.560106
0.00 0.00,18.874604005080002,18.886
0.00 49.40,18.6870487958957,18.69958
-34.93 34.93,18.60777039405627,18.60558
-49.40 0.00,18.585784248205332,18.53117
-34.93 -34.93,18.596395896031307,18.56219
0.00 -49.40,18.626082669160304,18.688715
34.93 -34.93,18.788799897832337,18.82682
49.40 0.00,18.78131087035923,18.803656
34.93 34.93,18.75483501792973,18.7679
0.00 98.80,18.483785207454975,18.46706
-37.81 91.28,18.45373619519747,18.445873
-69.86 69.86,18.44686849300678,18.43074
-91.28 37.81,18.380309691795937,18.3625
-98.80 0.00,18.38794077359713,18.343468
-91.28 -37.81,18.380959033966064,18.384594
-69.86 -69.86,18.416005317981426,18.44803
-37.81 -91.28,18.482133498558632,18.532293
0.00 -98.80,18.60788059295752,18.68869
37.81 -91.28,18.71099436385,18.826555
69.86 -69.86,18.89777297240037,18.951803
91.28 -37.81,18.97725233114683,19.01566
98.80 0.00,20.21323933968177,20.7812
91.28 37.81,18.94169367276705,18.961185
69.86 69.86,19.030769458183876,18.85941
37.81 91.28,18.603968412448197,18.560106
0.00 0.00,18.882145001338078,18.886
0.00 49.40,18.692327465155184,18.69958
-34.93 34.93,18.61841587059664,18.60558
-49.40 0.00,18.569569971622563,18.53117
-34.93 -34.93,18.565638856573422,18.56219
0.00 -49.40,18.682097090207613,18.688715
34.93 -34.93,18.774731936879792,18.82682
49.40 0.00,18.792533923418095,18.803656
34.93 34.93,18.766940631272593,18.7679
0.00 98.80,18.543790083665115,18.46706
-37.81 91.28,18.50059796602298,18.445873
-69.86 69.86,18.416997249309834,18.43074
-91.28 37.81,18.377434253692627,18.3625
-98.80 0.00,18.352937111487755,18.343468
-91.28 -37.81,18.38218703636756,18.384594
-69.86 -69.86,18.432421941023605,18.44803
-37.81 -91.28,18.52549281487098,18.532293
0.00 -98.80,18.646719592045514,18.68869
37.81 -91.28,18.75177038918193,18.826555
69.86 -69.86,18.89842641659272,18.951803
91.28 -37.81,19.613851987398586,19.01566
98.80 0.00,20.48960520670964,20.7812
91.28 37.81,19.165842765416855,18.961185
69.86 69.86,19.234916246854343,18.85941
37.81 91.28,18.692399410656837,18.560106
0.00 0.00,18.877274403205284,18.886
0.00 49.40,18.70088027073787,18.69958
-34.93 34.93,18.66366943177723,18.60558
-49.40 0.00,18.54966457073505,18.53117
-34.93 -34.93,18.585646317555355,18.56219
0.00 -49.40,18.656832964603716,18.688715
34.93 -34.93,18.80061218575799,18.82682
49.40 0.00,18.804357939500076,18.803656
34.93 34.93,18.788966991906953,18.7679
0.00 98.80,18.513360830453728,18.46706
-37.81 91.28,18.499603300013096,18.445873
-69.86 69.86,18.46228630726154,18.43074
-91.28 37.81,18.3802961569566,18.3625
-98.80 0.00,18.371213619525616,18.343468
-91.28 -37.81,18.39508287723248,18.384594
-69.86 -69.86,18.433395844239456,18.44803
-37.81 -91.28,18.49994112895085,18.532293
0.00 -98.80,18.553271635984764,18.68869
37.81 -91.28,18.78103134876907,18.826555
69.86 -69.86,18.994494262108436,18.951803
91.28 -37.81,19.84188358600323,19.01566
98.80 0.00,20.49951670720027,20.7812
91.28 37.81,19.20892682442298,18.961185
69.86 69.86,19.31191400381235,18.85941
37.81 91.28,18.959291963643963,18.560106
0.00 0.00,18.85642604950147,18.886
0.00 49.40,18.69378401438395,18.69958
-34.93 34.93,18.61378144606566,18.60558
-49.40 0.00,18.616526618370642,18.53117
-34.93 -34.93,18.606229558357825,18.56219
0.00 -49.40,18.713685159194164,18.688715
34.93 -34.93,18.793515234727128,18.82682
49.40 0.00,18.872336711639015,18.803656
34.93 34.93,18.785813178771583,18.7679
0.00 98.80,18.58777221105038,18.46706
-37.81 91.28,18.511917419922657,18.445873
-69.86 69.86,18.495714921217697,18.43074
-91.28 37.81,18.465413570404053,18.3625
-98.80 0.00,18.532509400294376,18.343468
-91.28 -37.81,18.430053894336407,18.384594
-69.86 -69.86,18.44229166324322,18.44803
-37.81 -91.28,18.617364079087647,18.532293
0.00 -98.80,18.63436463813642,18.68869
37.81 -91.28,18.82569035505637,18.826555
69.86 -69.86,19.585123960788433,18.951803
91.28 -37.81,19.5037784576416,19.01566
98.80 0.00,20.352931646200325,20.7812
91.28 37.81,19.360648925487812,18.961185
69.86 69.86,19.320928426889274,18.85941
37.81 91.28,18.695903625243748,18.560106
